"Var1","Var2","Correlation","P_Value"
"DHW_Dur","DHW_Dur",1,0
"DHW_Dur","DHW_Dur_Major",0.322145251021784,0.283079585657972
"DHW_Dur","DHW_Max_Major",0.188704930015808,0.536959618660239
"DHW_Dur","DHW_Mean",0.188704930015808,0.536959618660239
"DHW_Dur","DHW_Mean_Major",0.188704930015808,0.536959618660239
"DHW_Dur","lat",-0.816214730372165,0.00066552669549723
"DHW_Dur","SST_AnnRange",-0.666582745363456,0.012841252505568
"DHW_Dur","SST_BiweekRange",0.296956907166389,0.324488385149128
"DHW_Dur","SST_Mean",0.870157838681037,0.000109825273228748
"DHW_Dur","SST_MonthRange",0.748241213134081,0.00326259661073273
"DHW_Dur","SST_Q05",0.795574197485512,0.00114542530803327
"DHW_Dur","SST_Q95",0.738501237063383,0.00393825922663481
"DHW_Dur","SST_SD",0.649432571480206,0.0162976847585604
"DHW_Dur_Major","DHW_Dur",0.322145251021784,0.283079585657972
"DHW_Dur_Major","DHW_Dur_Major",1,0
"DHW_Dur_Major","DHW_Max_Major",0.873690079703949,9.50371886843873e-05
"DHW_Dur_Major","DHW_Mean",0.873690079703949,9.50371886843873e-05
"DHW_Dur_Major","DHW_Mean_Major",0.873690079703949,9.50371886843873e-05
"DHW_Dur_Major","lat",-0.0849972801741519,0.782485380468606
"DHW_Dur_Major","SST_AnnRange",-0.432698419615187,0.139729602342195
"DHW_Dur_Major","SST_BiweekRange",0.195605756066951,0.521888416111825
"DHW_Dur_Major","SST_Mean",0.643047660589376,0.0177477519893971
"DHW_Dur_Major","SST_MonthRange",0.38413898915125,0.195013136977211
"DHW_Dur_Major","SST_Q05",0.744623530023454,0.00350212266112608
"DHW_Dur_Major","SST_Q95",0.616564830192552,0.0248104055678562
"DHW_Dur_Major","SST_SD",0.487038668858417,0.0914131946659018
"DHW_Max_Major","DHW_Dur",0.188704930015808,0.536959618660239
"DHW_Max_Major","DHW_Dur_Major",0.873690079703949,9.50371886843873e-05
